代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
002276,万马股份,6.79,1.19,0.08,0.44,0.03,3.84,--,193.24万,10.35亿,70.30亿,31.90
688698,伟创电气,16.17,1.19,0.19,-2.18,0.10,2.65,--,57.95万,3662.40万,5.92亿,33.24
002828,贝肯能源,8.52,1.19,0.10,0.24,0.01,0.60,--,12.01万,1.50亿,12.81亿,72.68
300831,派瑞股份,16.20,1.19,0.19,-0.12,0.04,1.44,--,46.17万,8000.00万,12.96亿,137.91
300218,安利股份,11.08,1.19,0.13,2.78,0.00,0.23,--,6.32万,2.16亿,23.96亿,105.78
300363,博腾股份,44.64,1.18,0.52,1.96,0.01,0.46,--,119.19万,4.47亿,199.52亿,74.68
603212,赛伍技术,33.99,1.16,0.39,2.13,0.01,0.52,--,19.71万,4001.00万,13.60亿,70.05
603380,易德龙,20.94,1.16,0.24,0.67,0.03,1.31,--,92.76万,1.60亿,33.50亿,21.17
601009,南京银行,9.76,1.14,0.11,-0.20,0.07,6.44,--,6171.05万,84.82亿,827.86亿,7.26
300368,汇金股份,14.30,1.13,0.16,-0.14,0.03,0.44,--,225.22万,5.15亿,73.64亿,155.59
002285,世联行,4.50,1.12,0.05,1.35,0.00,0.32,--,29.16万,20.14亿,90.65亿,亏损
代码,名称,现价,涨跌幅%,涨跌,涨速%,换手%,量比,振幅%,成交额,流通股,流通市值,市盈率
688590,新致软件,17.11,1.12,0.19,0.00,0.07,2.11,--,42.28万,3700.36万,6.33亿,38.19
603313,梦百合,41.60,1.12,0.46,-0.95,0.02,1.45,--,279.55万,3.48亿,144.65亿,33.87
688598,金博股份,178.00,1.09,1.92,-0.80,0.03,0.62,--,90.78万,1915.25万,34.09亿,84.47
688559,海目星,23.46,1.08,0.25,1.08,0.00,0.05,--,2.35万,4550.36万,10.68亿,46.13
300365,恒华科技,9.39,1.08,0.10,-1.05,0.07,8.45,--,240.01万,3.48亿,32.69亿,45.77
002692,ST远程,2.82,1.07,0.03,0.00,0.00,0.45,--,1.66万,6.79亿,19.15亿,138.12
600066,宇通客车,16.02,1.07,0.17,0.13,0.01,0.94,--,338.69万,22.14亿,354.67亿,169.98
300733,西菱动力,18.90,1.07,0.20,-0.84,0.04,0.69,--,88.26万,1.19亿,22.51亿,268.37
688057,金达莱,33.15,1.07,0.35,1.04,0.05,2.26,--,101.96万,6377.38万,21.14亿,23.66
300387,富邦股份,7.58,1.07,0.08,-1.17,0.02,1.31,--,37.45万,2.89亿,21.91亿,21.86
000953,*ST河化,4.74,1.07,0.05,-0.21,--,0.02,--,948,2.94亿,13.94亿,27.93
600567,山鹰国际,3.80,1.06,0.04,0.80,0.09,2.43,--,1504.84万,45.96亿,174.63亿,13.32
600897,厦门空港,18.13,1.06,0.19,-0.55,0.02,5.76,--,98.99万,2.98亿,53.99亿,41.80
600641,万业企业,14.46,1.05,0.15,0.14,0.01,1.21,--,110.62万,9.58亿,138.52亿,46.59
000611,ST天首,2.90,1.04,0.03,0.00,0.00,0.44,--,9570,3.19亿,9.26亿,亏损
