,名字,频数
291,补,4
292,起来,4
293,东西,4
294,通知,4
295,入场,4
296,一小,4
297,检票,4
298,千万别,4
299,秩序,4
300,景点,4
301,嗎,4
302,写,4
303,高,4
304,收费,4
305,差到,4
306,时段,4
307,答复,4
308,请问,4
309,合理,4
310,这是,4
311,设计,4
312,回,4
313,半,4
314,日,4
315,还贵,4
316,输,4
317,发来,4
318,显示,4
319,手机号,4
320,确认码,4
321,客户,4
322,七点,4
323,过去,4
324,事情,4
325,专业,4
326,三张,4
327,世界,4
328,再来,3
329,以前,3
330,一般般,3
331,开场,3
332,客人,3
333,一排,3
334,无论是,3
335,破,3
336,广东,3
337,正常,3
338,老,3
339,当天,3
340,长隆大,3
341,想象,3
342,大概,3
343,太乱,3
344,主要,3
345,马上,3
346,总体,3
347,震撼,3
348,几年,3
349,情况,3
350,不想,3
351,几天,3
352,解决问题,3
353,换票,3
354,不负责任,3
355,戏票,3
356,不去,3
357,惊艳,3
358,新意,3
359,期待,3
360,四百多,3
361,发,3
362,吐槽,3
363,机票,3
364,服务态度,3
365,左右,3
366,全票,3
367,个人,3
368,玩,3
369,一天,3
370,难受,3
371,妈妈,3
372,订成,3
373,气愤,3
374,再也,3
375,打水漂,3
376,吸引,3
377,我要,3
378,比官,3
379,网,3
380,抱,3
381,天气,3
382,明显,3
383,提早,3
384,抢,3
385,做,3
386,出场,3
387,钟,3
388,搞定,3
389,赶紧,3
390,应该,3
391,有人,3
392,十年,3
393,整体,3
394,管理,3
395,几乎,3
396,质量,3
397,免费,3
