,日期,变动人,变动数量（股）,交易均价（元）,结存股票（股）,交易方式,董监高管,高管职位,与高管关系
40,2018-12-31,张蕉霖,50000,--,4084625,二级市场增持,张蕉霖,"董事,副总经理",本人
41,2018-12-31,郑坤,20000,--,19386200,二级市场增持,郑坤,董事,本人
42,2018-10-29,陈庆堂,328360,7.27,86548557,二级市场买卖,陈庆堂,董事,本人
43,2018-09-21,陈庆堂,27700,8.77,86220197,二级市场买卖,陈庆堂,董事,本人
44,2018-09-20,陈庆堂,107400,8.75,86192497,二级市场买卖,陈庆堂,董事,本人
45,2018-09-19,陈庆堂,46200,8.81,86085097,二级市场买卖,陈庆堂,董事,本人
46,2018-09-17,陈庆堂,89900,8.73,86038897,二级市场买卖,陈庆堂,董事,本人
47,2018-09-14,陈庆堂,94200,8.75,85948997,二级市场买卖,陈庆堂,董事,本人
48,2018-09-07,陈加成,800,8.68,50800,二级市场买卖,陈加成,董事,本人
49,2018-09-07,陈庆堂,120747,8.68,85854797,二级市场买卖,陈庆堂,董事,本人
50,2018-09-06,陈加成,50000,8.84,50000,二级市场买卖,陈加成,董事,本人
51,2018-09-06,陈庆昌,53400,8.85,1806375,二级市场买卖,陈庆昌,董事,本人
52,2018-09-06,陈庆堂,79900,8.85,85734050,二级市场买卖,陈庆堂,董事,本人
53,2018-09-06,陈延嗣,50000,8.86,50000,二级市场买卖,陈延嗣,高级管理人员,本人
54,2018-09-06,何腾飞,10000,8.84,310000,二级市场买卖,何腾飞,高级管理人员,本人
55,2018-09-06,何修明,20000,8.90,12930800,二级市场买卖,何修明,监事,本人
56,2018-09-06,林家兴,20000,8.94,12930800,二级市场买卖,林家兴,董事,本人
57,2018-09-06,吴景红,3000,8.84,2061745,二级市场买卖,吴景红,监事,本人
58,2018-09-06,许梦华,40000,8.85,606500,二级市场买卖,许梦华,高级管理人员,本人
59,2018-09-06,姚建忠,10000,8.81,705625,二级市场买卖,姚建忠,监事,本人
60,2018-09-06,张蕉霖,41000,8.84,4084625,二级市场买卖,张蕉霖,董事,本人
61,2018-09-06,郑坤,20000,8.88,19386200,二级市场买卖,郑坤,董事,本人
62,2018-09-05,陈庆堂,120100,8.69,85654150,二级市场买卖,陈庆堂,董事,本人
63,2018-09-05,许梦华,10000,8.55,566500,二级市场买卖,许梦华,高级管理人员,本人
64,2018-09-05,张蕉霖,9000,8.55,4043625,二级市场买卖,张蕉霖,董事,本人
65,2018-07-16,何腾飞,300000,5.33,300000,股权激励实施,何腾飞,高级管理人员,本人
