,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
160,苏州,1,哈哈就斤斤计较斤斤计较,1111222488,乔憨憨的铁敢敢,4.5,2
161,垫江,,嗯嗯嗯，不错不错,1111221570,Bomshakalaka＿,5.0,3
162,大连,1,比 800好看多了  要是先上线  就没什么800的事了,1111222446,舒野铂农,5.0,3
163,南昌,,"重复炸桥，不同人的角度

",1111223325,_qqw2h1348125856,5.0,4
164,安阳,,很感人，让我们重温历史，记住那些为了新中国有更美好未来，而为之献身的英雄们,1111210265,Klq404174548,5.0,2
165,成都,,打瞌睡，镜头特殊,1111222413,DXC148681877,0.5,1
166,上海,,剧情重复，还好,1111221498,你咋又脸红了,2.5,2
167,海安,1,不错还可以就是重复的太多,1111197746,chenjie哎,5.0,3
168,天水,,还行吧 一般,1111221429,liliwliliy,3.5,2
169,抚顺,,战士们搭起的人桥 很震撼！ ,1111223214,hIu952411406,4.0,3
170,兴安盟,,人生不长，喜欢你这件事我不想隐瞒,1111220607,ESx931936348,4.5,2
171,烟台,,震撼，看过后感慨颇多,1111223205,qlb6658,5.0,2
172,西安,2,😎😎😎😎,1111223194,魏爱爱，,5.0,3
173,邹城,,非常好看😊!,1111223183,停机了620,5.0,1
174,泌阳,,不错 很好看,1111221376,lNr341200965,5.0,1
175,浚县,,比较好看还行,1111222268,ind134225546,4.0,1
176,徐州,2,挺好的，效果不错,1111222229,Qrc258108427,4.5,1
177,张掖,2,很好看，向赴朝英英雄致敬！,1111223037,贺荣,5.0,1
178,贵阳,1,好看，希望今后多有这种电影，对小孩有很好的教育。,1111210165,雨爹地,5.0,2
179,广元,,好看，满满的爱国情怀,1111222158,MA男人,5.0,2
180,无锡,1,不错的爱国教育(⑉°з°)-♡,1111222141,射手阿仁650,5.0,4
181,防城港,,好看，确实不错,1111221246,VXN164213596,5.0,2
182,上海,1,难得有抗美援朝题材的影片，配合今年纪念志愿军出国作战70周年，张译的演技真的是亮点了，难得的战争题材国产佳作,1111220408,keith_ywzhao,4.5,3
183,武汉,,还不错  良心剧吧,1111217967,ZMX458964792,3.5,2
184,深圳,,还行，不如八佰的艺术张力,1111205259,nTY989487565,4.0,2
185,汕头,,推荐，好看。,1111187398,懒虫起床吃饭了,4.5,3
186,广州,,还行吧。。不是很好,1111221156,Ex浩,4.0,3
187,牡丹江,,抗美援朝故事很感人！,1111222021,SRR130387799,5.0,3
188,珠海,1,还行吧，重复一个片段，使劲拨,1111221125,李剑,3.5,2
189,大连,1,支持张译，吴京。,1111217832,云在天上我在地上,4.5,1
190,广州,1,嗯，爱了爱了。,1111197579,小帽子带一带...,5.0,2
191,韶关,2,还行，一个故事几个角度叙说。,1111197576,可乐winny,3.5,2
192,成都,1,一般，不是很好看,1111197573,感谢我不可以774,2.5,2
193,中牟,,好看刺激很棒,1111205177,TWS818783008,5.0,2
194,莱西,1,一部感人的国产片,1111220179,它来自江湖,5.0,2
195,潍坊,,还好吧 张译演技在线,1111214957,渣渣刘nn,3.0,2
196,偃师,,应该多拍一些战争题材电影,1111217686,Q安亦尘,4.5,2
197,诸城,,好好好，感动的电影。,1111215832,ccF706074527,4.5,1
198,咸宁,2,好看，特意带爷爷奶奶一起过来看的，张毅邓超吴京演的太好了，像革命烈士致敬,1111217672,梦子🍀 🌸,5.0,2
199,长沙,,非常不错滴电影,1111216597,CIt501086940,5.0,1
200,长沙,,非常不错滴电影,1111216598,CIt501086940,5.0,1
201,长沙,,非常不错滴电影,1111220124,CIt501086940,5.0,1
202,北京,1,好看呀，特好看,1111214909,Swg162296724,5.0,2
203,北京,1,挺震撼人心的，今天的幸福生活来之不易，前人的牺牲换来的,1111215801,近邻宝 李子,5.0,1
204,秦皇岛,,把我女朋友给看哭了,1111214889,ddm535259529,5.0,2
205,呼和浩特,1,不错不错！！,1111220053,丶Jake,5.0,2
206,开州区,2,很好吃，味道很不错,1111215717,tgJ386546983,5.0,2
207,崇州,,好看！！！！,1111215706,时光笔墨c,4.5,3
208,北京,2,不合理，而且按头,1111214790,青烧,2.5,2
209,巨野,,特别感动，勿忘国耻,1111216460,YDx808969292,5.0,2
210,巨野,,特别感动，勿忘国耻,1111216460,YDx808969292,5.0,2
211,广州,,非常好看的电影🎬，棒极了,1111197462,花又香儿,4.5,2
212,吉林,,爱国教育！！！爱国,1111213970,fri55555,5.0,4
213,苏州,,"非常不错哦！
",1111213929,Psz558646344,5.0,3
