,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
91,哈尔滨,1,国漫木兰横空出世的作品完成度超越真人版花木兰，电影中将巾帼英雄木兰的形象完美呈现在大银幕之上，是一部优秀的国产动画电影。,1108167675,繁星启程,5.0,3
92,哈尔滨,1,富有心意的木兰故事，从传统的古典诗词到真人版花木兰，再到动画木兰，木兰的故事一脉传承延续了巾帼不让须眉的爱国精神，希望木兰的精神能永远在中华大地的沃土上生生不息。,1108184505,繁星雨巷,5.0,3
93,南阳,,好看，孩子超喜欢,1108167352,飞雨飞雪624,5.0,2
94,成都,2,不错的动画片,1108169606,kbW544277579,4.5,3
95,沈阳,2,这一次她金戈铁马，再到你的面前，英姿飒爽横刀立马，转身和银幕下的你打了个招呼，便直奔敌营虽千万人吾往矣，再演一段银幕传奇。,1106611724,北堂馨儿3,1.0,5
96,海安,2,不好看，没有感觉,1108163237,wuzixuan818719,0.5,2
97,天津,2,跟花木兰有什么区别,1108150054,蔷薇花语666,5.0,2
98,上海,,陪小朋友看看而已,1108124999,Gth941223940,2.5,2
99,昆山,1,挺好看的。。。,1108107982,qizheng_jiang,5.0,1
100,盐城,1,一般，带宝宝看，宝宝不是很喜欢,1108127109,猥琐无罪,2.5,1
101,佛山,2,嗯哼？？？？,1108107145,wadasiwalin,4.5,2
102,上海,1,感觉和长城一个水准,1108075634,图乐,0.5,2
103,成都,,挺好的，国产动漫加油,1108071113,王雷122,4.5,2
104,哈尔滨,2,爱情片，但很感人，挺好。,1108031553,小迷糊LZL,5.0,2
105,长沙,2,很棒！与想象一致！小朋友很喜欢,1108042781,alsj1008,5.0,3
106,上海,1,比饱受诟病的刘亦菲版好看那么一点，就好那么一丁点。毕竟国漫崛起，值得鼓励。。。再同比《姜子牙》，格局和规模都小了很多，但好在简简单单，老老实实的讲了一个俗套的偶像剧爱情故事，颠覆了传统木兰的全新剧情创作。虽然这个新创作大人看了会比较幼（ruo）稚（zhi），所以还是更适合小朋友观众，他们看得超级开心，结束了还都不肯走。,1106522941,HVF721321498,2.5,2
107,原平,,没有期待中好看,1108029448,陌言620,1.5,1
108,南宁,2,不恋爱就不能成一个故事吗？为什么非要恋爱？为什么非要和亲？花木兰如果真如电影所说的。怎么可能“同行十二年，不知木兰是女郎”,1106644347,血玉狼狐,0.5,3
109,成都,2,蹭热度的片子 这个版本的花木兰实在不喜欢 剧情也不喜欢,1107981402,长毛怪兽,2.5,2
110,昆山,2,效果不错！出票很快！人不多，观影愉快！,1107938331,wcX324614048,5.0,2
111,沧州,,还可以 也没有特别的,1107960195,oTy350638026,4.0,3
112,南宁,1,木兰横空出世是中国喜剧动画片，木兰替父从军保家卫国是家喻户晓的故事，女儿更胜男儿郎。木兰心系山河。在兵临城下时化干戈为玉帛，共御外敌，转危为安，是一部颇有观赏价值的电影，点赞！,1106818806,沙漠绿洲,5.0,3
113,大连,,不错 孩子很喜欢,1107951690,Andywdpx,5.0,2
114,重庆,,"国风动画《木兰：横空出世》给人的体验感受很新鲜。它延续了木兰这枚经典传统IP的精髓，又融入了新时代、新女性的诸多元素，让木兰这个角色更立体、更丰实，也更贴近现实、更有共情。
中国故事中国表达
没有中国的血液，怎么会懂中国的传统文化！果然中国木兰的故事还是要中国人讲。
张碧晨演唱的片尾曲「木兰心」，融合《木兰辞》的戏曲独白和一段琵琶独奏，展现了木兰柔情细腻的一面，令不少网友直呼“戳心泪目”。一曲木兰心，唱尽木兰情。",1107949613,OpQ750813424,4.0,3
115,钟祥,,好看的好(✪▽✪),1107896306,pink粉无限,5.0,2
116,深圳,2,一般吧，不太好看,1107885826,wXv913880846,2.5,2
117,西宁,1,电影一般，其他还好,1107856667,张C8899,5.0,1
118,内江,,不是想象中的好看,1107867588,丿青丘§梦魇,2.5,2
119,安吉,2,真的好烂，看不下去了，本来的木兰是替父从军征战沙场，但是电影里的木兰搞对象去了，这剧情真的是无语死了，里面的花木兰脾气差，技术一般，还没有配角让人觉得好，电影看了还没一半一个小朋友就跑出去玩去了，连小朋友都看不下去了，真的是交了智商税,1106665572,骆闻舟.,1.0,2
120,本溪,,太一般了！！！孩子看的,1107846015,风风火火过大年,3.5,2
121,上海,1,非常好，花木兰真令人佩服，不比男儿差,1107832361,珏了珏,5.0,1
