,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
153,博山,,要不是我聪明差点没看懂,1111142900,萍萍55329,5.0,2
154,曹县,,不错  还不错,1111165244,强颜欢笑李孝虎,4.5,2
155,广州,,一般般吧，也不会很差,1111167109,Allen0606Min,4.0,3
156,六安,,还行，凑合看吧,1111166105,大帅啊啊啊啊啊呀,4.0,2
157,蚌埠,,"好的都爆
推",1111162718,伞灯,4.5,2
158,大同,,烂片，太假了,1111164080,fNt637592553,0.5,2
159,平度,2,"跟孩子一块看的，个人感觉挺好看的
",1111159828,lucky庆927,5.0,2
160,许昌,,好看      ,1111149211,IUn303679960,4.5,2
161,南通,1,跟我对象看的，很好看,1111160625,郭丞,5.0,2
162,成都,,感觉还好。。,1111158833,烟火xuxiaoxia,5.0,1
163,广州,,还行吧。看一桐,1111157992,小仙女杰西卡,3.5,3
164,广州,,不咋滴，充数的,1111162417,为人正直399,3.0,2
165,长沙,,总体来说还可以,1111160531,BPR854347081,4.0,2
166,西安,,很好看，感动,1111162394,yLV861367279,4.5,2
167,鹤壁,2,看哭了，感人,1111158709,WCo880878786,5.0,3
168,桂林,2,还可以吧，后面没意思,1111160400,mona小洛,3.5,2
169,三亚,,看到最后才觉得比较感人,1111159255,猪猪8384,4.0,2
170,海门,,一般般   ,1111162083,tdJ207873787,3.5,4
171,通辽,,非常喜欢的电影🎬,1111159156,姚文宝y,5.0,3
172,呼和浩特,,电影体验不错,1111160013,KyT972583878,4.5,2
173,柳州,,真的是很好看,1111153903,风生水先,5.0,1
174,黑河,,好看好看真不错,1111142296,白玖霄,5.0,1
175,怀化,,感觉一般般吧！,1111155563,QCh287994435,2.5,3
176,大石桥,,非常好看！！,1111148967,杨舒婷可爱么,5.0,1
177,临汾,,还可以。。。,1111148819,坠梦omg,5.0,3
178,肥城,,不错的电影，,1111154505,stT918828422,5.0,2
179,武汉,1,感人，  ，，,1111153543,Z小非,5.0,2
180,秦皇岛,,还可以吧，感觉看的人不是太多,1111150838,忙碌一天的张师傅,3.5,2
