,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
118,长春,,非常好，感人,1111163805,uTk240741021,5.0,1
119,广州,1,豆瓣9分应该不过分吧,1111152357,肥谦,5.0,2
120,郑州,,ting h,1111162999,DJD474396682,4.5,1
121,郑州,,经典好看非常不错,1111159898,蕊儿fighting,5.0,1
122,北京,,富贵CF咯的是弟弟,1111160890,三土干工,4.5,1
123,昆明,1,感动，一个小商贩，从为了赚钱养家，升华到为解决部分需要帮助的人所付出的努力,1111164106,烨境,5.0,1
124,银川,,很好，下次再来,1111160736,李金倡,4.5,1
125,合肥,,值得深思。好看,1111163079,aUR788808528,5.0,1
126,北京,,不错的剧！导演很棒👍🏻,1111162476,龙先生ljz,4.5,1
127,,1,还行。不要炒作，抱有太高期望，会让人失落。,1027964308,想咋咋,3.5,1
128,长沙,,挺好看的一部电影,1111151024,BPR854347081,5.0,2
129,咸宁,,不吐兔兔来了句,1111159515,晚来天欲雪鱼鱼鱼,5.0,2
130,蚌埠,2,看的第一部电影 超级棒,1111162303,失落,5.0,2
131,济南,,很好的电影，会是一个巅峰,1111160427,IaU913141832,5.0,2
132,宜兴,,没有辜负之前的期待，很不错,1111125456,纯黑色灬TK,5.0,1
133,郑州,1,好的，很可以,1111154959,重拾李,5.0,1
134,成都,,"非常励志的电影
",1111158223,YT2864327221,5.0,1
135,银川,,给人感触很深,1111134745,qjY576333698,5.0,1
136,石家庄,,好看，挺喜欢,1111154583,红酒雪梨44,5.0,1
137,成都,,很人性的一部,1111148867,iJz502097095,5.0,2
138,深圳,,好看好看，赞赞赞,1111154207,liuruoer,5.0,1
139,东莞,,不错，现实题材,1111153184,Ymu695053998,5.0,1
140,晋中,2,真的不喜欢自己喜欢,1111154109,购物767598,5.0,1
141,绥中,,还不错，，，,1111145913,KzX869970459,4.5,2
142,西安,,我觉得很感人,1111150175,你好一兀,5.0,2
143,大连,1,你得去看，才能有切身感受,1111150105,中远李玉萍,4.5,1
144,成都,2,比较搞笑🥸,1111133387,安妮1132,4.5,3
145,西安,,好看好看 推荐,1111144854,Tina1804,4.5,2
146,集美,1,看了超想哭，很现实的一部电影，生活中就是这样。,1111144596,包子886,5.0,2
147,昆明,,不错的国产片，题材很好,1111141987,Dustfum,4.0,1
148,合肥,,话不多说，就是好看,1111143588,大瑶哒哒哒,5.0,2
149,长春,,不断变化的患得患失是谁,1111133146,点外卖的好哥哥,5.0,2
150,武汉,1,很好      ,1111138991,才不是贪便宜,4.5,1
151,新余,,真的还不错！,1111140584,绵羊崽,5.0,1
152,大庆,2,太好看了吧 ,1111070251,达令395,5.0,4
153,北镇市,2,也非常不错的,1111138474,Holy丑小丫,4.5,1
154,北京,,记得去电影院之前带手绢,1111114845,拯救樱桃本,5.0,1
155,上海,,不错的一部好电影,1111135844,happy小囡囡,5.0,2
156,钟祥,2,妮子我认怂是,1111114828,yj890710,5.0,2
157,开封,1,不错的片子值得推荐！！！！！！满分,1033946040,磐石丶先生,5.0,1
158,长沙,,还可以 值得一看,1111138294,HZs152797932,5.0,2
159,合肥,,太好看了好喜欢,1111121238,Dgj157633403,4.5,2
160,西宁,,现实与人性的碰撞,1111140036,HUg294307534,4.5,1
161,辽阳,2,很好看，特别有意思,1111135619,无敌小妖儿,5.0,1
162,昆明,,很不错的一部电影,1111129842,Seeee畏惧,5.0,2
163,杭州,,不错的，值得信赖,1111111686,wzF302149535,5.0,3
164,武汉,2,好看搞笑 赞,1111132887,m像雾像雨又像风,5.0,2
165,溧阳,,可乐雪碧芬达各一件,1111093671,vitamin_88,3.5,2
166,秦皇岛,2,没有关系好的人人平等对待爱情故事,1111121059,你猜今天吃点啥,5.0,1
167,青岛,1,很好看，很感人,1111135163,icq62171433,5.0,1
168,潜江,,"这么棒的电影肯定是满分啦！！！
过年看的喜剧。",1111070160,次元666,5.0,1
169,合浦县,,"。。。🌹。
",1111112527,FeW332238892,4.5,1
170,长沙,,遇到好多好多吧,1111135034,杀杀杀杀杀sk,5.0,2
171,廊坊,,超级好看，开心,1111112520,vnJ333338286,4.5,1
172,佛山,,剧情好搞笑的,1111132100,uKZ219141511,5.0,2
173,珠海,,不错，值得看！,1111123966,NQA505816062,5.0,1
174,桐乡,2,好看的，大片,1111102829,哭泣de桃金娘,4.5,1
175,安阳,2,真实感动值得看,1111124878,qq琪琪8088,4.5,2
176,上海,1,好，很好，还可以,1111127518,高义鹏,5.0,1
177,南京,,还行吧111,1111126930,十里春风不如君,4.5,2
178,锦州,2,好看，强烈推荐,1111124661,_qqczs1408111575,5.0,2
179,北京,1,好看哈哈哈哈,1111124652,木马MuAA,4.5,1
180,肇庆,,贼好看。。。。,1111093383,东sevenseven,5.0,2
181,长兴,,绝对可以，推荐,1111122646,末世千寻,4.5,1
182,濮阳,2,流了很多眼泪,1111124102,洁宝萌神,5.0,1
183,东莞,,一句话，感动,1111123005,LOVE52016899,4.5,2
184,武汉,,怕是要退钱了,1111118758,木木夕雨147,4.5,1
185,西安,,好看😊呀我去吧,1111119592,滴滴外卖来了,4.5,2
186,武汉,,好滴呀呀呀呀,1111110540,Nastasic,5.0,2
187,保定,,片子不错，很精彩,1111108401,VQd422767444,5.0,2
188,安宁,1,好看好看好看，重要的事情说三遍,1111109487,Assassin、鸿,5.0,2
189,成都,1,好看不错很棒,1111084650,Colide,5.0,1
190,上海,,非常好的呢;-),1111104392,摘一个月亮呀,5.0,1
191,杭州,2,很棒，非常好看,1111098961,王媛熙0307,4.5,1
192,江门,2,可以的，引人深思,1111072707,瑀de猪猪Nv,4.5,1
193,合肥,,不错，很可以,1111094867,fIU816264979,5.0,1
194,桃源,,很感人，很有感触,1111094582,让我取个名字好不,4.5,1
195,长沙,2,很不错啊！！！！！,1111084144,JUNG700,4.5,1
196,南昌,1,反应了现实情况,1111095408,Liq邓,4.5,2
197,福州,,经典佳作 非常好看,1111096066,BXN905472791,5.0,1
198,重庆,,还不错，很有感悟,1111084077,胡胡胡嚯嚯嚯,5.0,1
199,成都,,可以，不错不错,1111078274,Anitayaoling,4.5,1
200,唐山,2,挺好的！很真实、很感人！,1111086816,奥特曼ko,4.5,1
201,老河口,1,好看的很啊。,1111085930,雲天河,4.5,1
202,孝昌县,,"还不错啊固体体育胡
",1111086455,Hfp275326463,4.0,1
203,成都,2,很感人，现实社会就是这样,1111088065,Koichi33,5.0,1
204,贵阳,,剧情一般，不算很搞笑的那种,1111085065,死神月舞,4.5,1
205,哈尔滨,2,很nice  很现实,1111085057,不让老子吃就死,5.0,3
206,日喀则,1,多拍点这样的好电影,1111079855,小格子GS,5.0,2
207,西安,2,很感人，很真实,1111073668,mynameis毛毛,4.5,1
208,呼和浩特,,非常好看，太棒了,1111071607,iSv556908074,5.0,2
209,佛山,2,喜欢这种真实情况改编的，演员演的也很好,1111051454,ʚ亦存ɞ,5.0,2
210,石家庄,,好看😊…还好还好哈,1111051426,nra469114267,4.5,2
211,南充,,感人真的很不错,1111069410,祝歌Kimberly,4.5,2
212,永川,,感动到了我！个人很喜欢,1111069017,RhN394676454,5.0,2
213,昆明,,非常好的👌🏻,1111059485,huangshuhua.,4.5,1
214,武汉,,完美搭配的时候,1111059350,周文彬1989,5.0,1
215,淮安,,怎么我的现在才让评价,1111058496,草莓姑姑，，,2.5,2
216,德宏,,满分💯满分💯,1111056037,tPa772713368,5.0,2
217,银川,,很好看，不错不错。,1111050488,sunmin孙敏。,5.0,2
218,上海,,闪耀人性的光芒！,1111029054,qBc984324858,5.0,2
219,西安,1,好片子。模仿一下邓爷爷的论断“黑猫白猫能抓老鼠就是好猫”，我要说盗版和正版，只要能救人就是好版。,1110944948,昊吃昊玩6,4.5,2
220,,1,第二次观看，和我去看的人既然哭了！������,1029478721,倾我所有尽我所能,5.0,2
221,中山,1,支持，剧情好，国产片加油,1111044972,boby005,4.5,2
222,宜昌,,好好好^_^👀,1111044824,Pmu293133480,4.5,2
223,常德,2,好看。震撼人心！生大病的人好可怜！,1111045477,何如00,4.5,1
224,沈阳,2,好看，看了很久了,1111047055,fuhui1106,5.0,1
225,昆明,,忘了。。。？！！,1111041949,Hjh826909018,5.0,1
226,深圳,,很好看……透過電影了解更多,1111044349,jfi608971030,4.0,2
227,合肥,2,感动感人，因为一个人而改变了政策，救了更多人,1111045099,浅末幽然,4.5,2
228,新郑,,好看。。。。,1111040780,珍妮ninini,5.0,2
229,重庆,,本来还以为是喜剧，但是打破了我的天真。,1110999564,HpY133858066,4.5,3
230,惠州,1,回头客了，观影感受不错,1111033916,love5892,5.0,1
231,深圳,,开始看到觉得有点无聊没啥意思，后半部看得热泪盈眶，很感人,1110999485,ccP940056208,4.5,3
232,沈阳,2,姐姐婚服估计墨迹举报,1111036234,dengtao1226,4.5,1
233,呼和浩特,2,看哭了T﹏T，希望能够对中国医药行业有现实促进意义！,1111028864,易只喵啊,4.5,2
234,鹤壁,1,好剧，反映问题很实在,1111026998,uMB179012003,5.0,1
235,南宁,1,女儿自己去看的，还算可以吧！,1111028629,djch2005,3.5,1
236,大连,,正能量，喜欢,1111031059,f10109170,4.5,1
237,朔州,,故事很不错的,1111023881,MnT303496991,4.0,1
238,昆明,1,感觉还可以。,1111025767,惜福984,4.5,1
239,周口,1,完美！好评！,1111028031,恋恋风尘,5.0,2
240,重庆,,还可以的总体,1111006511,断肠皮卡丘,4.5,1
241,广州,2,喜欢这种类型电影,1111023161,dGP807524404,4.5,2
242,成都,2,很好看，现实题材,1111021795,麒麒0328,5.0,3
243,武汉,,很感人的电影,1111018839,Sok218292350,3.5,1
244,成都,,好看，推荐！,1111021662,wger0229,5.0,2
245,普兰店,,挺好     ,1111000669,和世界屋脊27815,5.0,1
246,曲靖,1,yvctct,1111018649,水下月211,5.0,2
247,新化,,果然是个很好,1110994726,幸福小泡沫,2.5,1
248,石家庄,1,拍的比较真实，题材选的比较好，难得的国产精品,1111006179,_qqn7t1401274553,5.0,2
249,开州区,,挺好的，悲喜交加,1111006169,uDe434369005,3.5,1
250,徐州,,好看的很感人,1111016642,小留77,5.0,2
251,沈阳,2,棒 好看极了,1111016582,ty淘小莹,4.5,1
252,东莞,,好看  太感人了  ,1111017276,L璇宝,5.0,2
253,西安,1,20年最好的国产电影之一,1110994582,清真胡辣汤,5.0,3
254,天津,,喜欢沈腾的全部作品,1111013843,ella大欣欣,5.0,2
255,吉林,1,开启国产剧模式,1110994458,yvd133683602,4.5,2
256,溧阳,1,好看，根据真实故事改编,1111011571,玛丽熊猫,5.0,2
257,杭州,,很真实的一部电影，反应了底层人民看病的悲哀,1111012315,另请高明吧,4.0,1
258,孟津,1,秘密花园的房子了，你们一起去看看吧！，我的意思你们在哪里额,1110995340,gNy632154069,5.0,1
259,三亚,,近十年国产电影的巅峰了,1111012051,nnkszc,4.5,1
260,石家庄,2,一般般，明星太多，反而没有感觉了,1111010467,bi8boj,3.0,2
261,南京,1,很有社会性意义，不错的题材。,1111000003,枕书墨白,4.5,2
262,深圳,,zhen de,1111009014,gwe956480564,5.0,1
263,珠海,,挺好看的，不錯,1110978955,W1NGY1,5.0,2
264,,1,"挺好看的电影
",1030288429,冬雷不知雨,4.5,1
265,合肥,2,好看，很久没看到这么优秀的国产片了,1111004141,xuansweety0414,5.0,1
266,大连,,比较感人 值得一看,1111004042,丶阿浪哥哥,4.0,2
267,西安,,不錯的影片，,1110998976,tangchao1121,5.0,2
268,上海,,哭的不要不要的,1110977545,vSZ334611589,5.0,1
269,顺德,2,好(✪▽✪)好的吧嗯呢嗯呢,1110997094,PCG984381892,5.0,2
270,长沙,,牛逼啊哇噻哈,1110978380,yyyyy冰,4.0,2
271,阜阳,2,电影院的感觉不错,1110977324,hWU449933248,5.0,2
272,晋中,,很棒，超级好,1110978314,鱼糕吖,5.0,1
273,齐齐哈尔,,感动的不得了，挺喜欢的,1110992145,mingtianforever,4.5,1
274,杭州,,哈哈好的呢都,1110990102,FSK266427345,5.0,1
275,万州,,比较nice,1110967568,臻贞哦,4.5,1
276,上海,,"终于把这部神剧补上了，真的每一分钟都看得让人揪心，尤其是后一小时，眼泪还是止不住的流下来，看到王传君从生到死，看到耗子义无反顾的飞车，听着病人们发自肺腑的求情，实在太戳人了。

全片没有一句废话和多余的镜头，又不缺细节和前后呼应，耗子从黄毛到寸头，压在桌子玻璃板下面的全家福和返程车票，每一个细节都特别动容。演员演技更是不用说，尤其是王传君，把病态演绎到极致，让人心疼。

这是我近年来看过最棒的国产电影，没有之一。",1110982862,tracy_rain23,5.0,4
277,汕尾,,真的挺好的的,1110967324,首席打杂官1024,4.5,1
278,呼和浩特,,🧸12月，别忘了给自己温暖和鼓励,1110967265,KLj520120996,4.5,2
279,北京,,最感动的片子，流泪,1110960592,浪里个浪aiai,5.0,2
280,深圳,1,好看。。。。,1110972811,Ah伟,5.0,1
281,顺德,,很感人的一部电影，非常喜欢,1110973098,守西瓜的猫,5.0,1
282,崇明区,1,电影很有意义，值得回味,1110973017,宝岛懒洋洋,4.5,2
283,秦皇岛,,好，非常完美,1110970683,wnb团购,5.0,1
284,龙岩,,超级好看！！,1110966523,yGq654887757,5.0,1
285,牡丹江,,好久没看过这么。好的电影了,1110965155,玖玥的爸爸,5.0,2
286,泰州,,😊😊😊😊,1110959703,msq007,4.5,2
287,合肥,1,煽情玩的刻意了点儿。,1110962165,木有原则,5.0,1
288,成都,2,好看 很接地气,1110953912,黄暴少女_,4.0,1
289,成都,1,努力啦啦啦阿卡丽拉拉裤图,1110950002,冯岚8888,5.0,1
290,广州,,还不错    ,1110949654,H810256727,4.0,2
291,防城港,,感觉不错，很好笑,1110920692,Man满123,4.5,1
292,东莞,,好看电影。。,1110943135,UZA181022545,5.0,1
293,大连,2,时隔这么久，只能说这部电影已经是经典了,1110936614,Somnus5229,5.0,1
294,汕头,,哇，真感动。,1110934840,dpU537385234,5.0,2
295,珠海,,非常非常好呀,1110921453,Lcx994511618,5.0,2
296,大同,2,还挺好的呢！,1110908323,小兔沈,5.0,1
297,安阳,1,名气大豫虚假的我,1110934376,Yangdong83127,4.0,2
298,博兴,,非常棒，加油,1110930810,亦如茜雪,4.5,4
299,上海,2,真心好看的吧,1110933218,Jane妞妞Bo,5.0,2
300,东莞,,今年看过挺好的片子,1110922147,oVc128003506,5.0,1
301,江阴,1,完成度很高的一片电影。,1110921132,随风·微笑,4.5,3
302,滕州,,😍😍😍,1110900912,OdK311598620,4.5,2
303,泉州,,很好的不错的,1110923548,toa658528467,5.0,2
304,深圳,,非常棒，，，,1110918743,凌love峰,5.0,2
305,广州,1,📍保持清醒自律，知进知退爱自己,1110915741,阿尔老师,4.5,1
306,成都,,挺不错的，挺感人的，值得推荐！,1110916576,rLb553000672,5.0,1
307,武汉,2,感人肺腑，泪目,1110912931,懒癌晚期的girl丶,5.0,2
308,兰州,,可以      ,1110907894,Coy785163892,4.5,3
309,深圳,,包场你说行不行,1110910213,逾期预期,5.0,2
310,梧州,,剧情感人，真实写照,1110896993,Jbf107390394,4.5,2
311,南京,1,外卖包装跟图片展示相差无几，骑手送的很快，味道也十分赞，给老板五星好评。,1110897889,Tantanhahaha,3.5,2
312,上海,2,好看挺不错的,1110872894,goT158130856,5.0,1
313,石家庄,,不赖，有教育意义,1110884193,Bzy494208709,5.0,1
314,马鞍山,1,不错，很感人,1110872538,Paul.NFS,5.0,1
315,张家口,,哈哈哈(ಡωಡ)hiahiahia,1110892462,Pcv262604156,4.5,2
316,保定,1,不错的电影！,1110872464,qzP457486427,5.0,1
317,汕尾,,很不错的电影,1110892338,lv锦旋,4.5,1
318,淄博,2,真的超级完美,1110888977,asfrgugvjy,5.0,1
319,深圳,,真的非常好，特别感人,1110846785,MEh472382084,5.0,1
320,保山,1,现实生活写照,1110892041,aIc916109534,4.5,1
321,广州,,这部电影值得大家看,1110846705,陈颖琳619,4.0,2
322,西安,,好看，感人。,1110887491,LzD897578104,4.5,2
323,广州,,穷病，不是病的病,1110885476,金能168,4.5,2
324,北京,,很好，很真实,1110880511,XVJ958420764,3.5,2
325,重庆,,嗯haokan,1110879890,Knq787865245,5.0,1
326,宜昌,,还挺感人。。,1110885054,Jzw830456027,3.5,1
327,茂名,,好看，感人。,1110881457,zfc833270117,5.0,2
328,重庆,2,非常好看。。,1110879090,我有辣条JS,5.0,2
