,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
89,深圳,,很好看，张仪的演技很出彩，演出了对于女儿影片的执着，范伟也演出了放影员的兢兢业业一丝不苟，小女孩的眼神也很真挚，哭戏说来就来。开始追车的桥段很好笑，后来笑中有泪。一个真诚的年代背景下小人物的悲喜。,1111206771,iVK161843089,5.0,4
90,长沙,2,好看  挺感人的,1111210627,愛吃胡萝卜-,5.0,1
91,郑州,,很好哭，如果有人一起看就好了,1111206763,爱喝水的小姗姗,5.0,2
92,南阳,1,"自己一个人过来看  全场就我一个人 

感情比较细腻 淳朴 比较孤独 ",1111218140,鼎亿 李鹏飞,5.0,2
93,惠阳,2,很好看，值得推荐,1111231218,MUl882310577,4.5,2
94,郑州,,老谋子这部片差点意思,1111205714,丨无月丨,3.5,2
95,武汉,1,还不错哟 😀,1111218110,魔法师Lee,5.0,2
96,大连,2,电影故事情节紧凑，演员的情感带入也非常好。电影让我感受到了那个年代大家看电影的热情和不易，感受到了作为一个父亲对女儿的爱，总体来讲是非常好看的。,1111232077,💙 茹,4.5,1
97,邯郸,,非常文艺！喜欢这种感觉！,1111230313,obaji,5.0,3
98,郑州,,挺好的    ,1111210586,dhy328510,5.0,2
99,苏州,,值得一看……,1111229352,Kelly02121,4.5,4
100,咸阳,,非常好看，值得推荐,1111231065,fvJ927836343,5.0,2
101,上海,,看三遍了，我觉得好看,1111230113,huhujascha,5.0,2
102,葫芦岛,2,垃圾。看的气死了！5分钟都听不着，女主真讨厌！,1111224877,笨团儿,0.5,3
103,佛山,,影片整体节奏还不错,1111230076,bkT120409973,4.0,2
104,襄阳,,还不错，剧情很贴近当时的生活,1111205580,lily明hui,5.0,2
105,荣成,,整体很好，但是个人看着有点困,1111227294,山寺月中寻桂子A,4.0,2
106,杭州,2,希望导演多拍这种电影。又感人又搞笑,1111229073,八九🐰,5.0,2
107,本溪,,值得购买！赞👍🏻,1111223832,雪兔兔的,4.5,2
108,武汉,1,好无聊 好无聊,1111210443,南瓜与南,2.5,2
109,九江,1,艺谋老爷子真的是江郎才尽，作为文艺片这部电影勉强及格,1111229007,Zpj197886248,3.0,3
110,银川,,非常好，姜还是老的辣,1111224694,李大嘴,5.0,4
111,赣州,,好看！安利哦,1111224682,半城琅溪,5.0,2
112,宜昌,1,还可以还可以,1111222884,来自甜甜夫人的爱,5.0,3
113,太原,,很有意思的一部电影,1111223759,杨本当,5.0,3
114,武汉,,非常棒非常感人又搞笑,1111223745,痛的那么狼狈,5.0,2
115,常州,,大家伙一起洗片子那段真的感动到了，特别喜欢解放不久之后的氛围，有啥事大家一起想办法，邻里乡亲都会吵着去帮衬帮衬，还有唱歌那一段，大家都慷慨激昂的大声唱出自己的心情，希望能叫座叫好(o^^o),1111206550,楠条绘希ller,5.0,2
116,郑州,,一般般 没那么惊喜,1111224602,Kqn811562985,3.5,2
117,呼和浩特,2,父爱如山。 ,1111137683,🦋Camille.,4.0,1
118,河源,1,不怎么好看，看到后面都犯困了,1111205523,荒野獨狼,3.0,3
119,佛山,1,静静的感受那份执着的父爱，那份沉甸甸的情！很佩服张艺谋导演在选演员的执着与精准！非常好的电影！赞👍 ,1111197876,鸿竹商贸 牛栏山  老刘18401488940,5.0,4
120,贵阳,1,还行吧哈哈哈,1111227024,黑小7,3.5,1
121,中山,2,张导的作品一如既往非常不错🤔 泪点高潮都有🤔 看到最后最着急的是那半截胶片找不到还有就是原来女孩子长得这么漂亮,1111224497,DM _Kirin,4.0,3
122,鞍山,2,演员演的太棒了,1111223607,往事711,5.0,3
123,南京,,有东西。准备再看一遍,1111206477,Ouk876642118,4.0,4
124,天津,1,个人认为啊，剧情有点牵强，但凡剧中人物多说几句话，误会解除了，这部电影5分钟就可以结束了,1111222647,别拿地沟油糊弄,3.5,2
125,上海,1,电影娱乐为主，净化灵魂唯有读书。,1111221723,哄哄,5.0,1
126,上海,,"。。
。。。",1111222613,V一L,5.0,1
127,西安,1,可以，能看，比姜子牙好看多了,1111221717,二狗呀,3.0,2
128,宜昌,1,实话实说的并不多吧,1111221711,fnR346760114,5.0,2
129,中山,,很不错，但是感觉差一口气，遗憾～,1111206432,_sina57143892974,4.5,2
130,上海,1,演技炸裂，但是剧情不喜欢,1111221673,¹³⁴⁷²⁵⁵⁴⁹⁴⁹悟空の小田,2.5,2
131,上海,1,总体感觉一般，主要是冲着张译看的，不过最出彩的地方应该是张译的演绎了，还有范伟老师的演出，都是不错的。,1111221625,来自南方的羊,2.5,1
132,泉州,2,有点无聊，这类型的题材是挺好，但是还是感觉差点味道,1111223371,小小新新新520,2.5,2
133,柳州,1,很好，老谋子的人性关爱,1111220742,老康,4.0,2
134,鄂州,1,好看的电影，,1111224212,OKX513066419,5.0,2
135,武汉,,不是很好看，但佷陈旧感,1111221512,心想,3.0,5
136,沈阳,,一般吧！还行,1111221494,ksG590093201,3.5,2
137,任丘,,还行吧 一般般,1111224159,HUN10113331,3.0,3
138,吴忠,1,中达电影城第一号线。我的钢琴曲第一次爱的人作品王心凌，电子钢琴DJ。美丽的神话作品韩红,1111223268,喜欢你马骁,5.0,4
139,芜湖,1,可能被删减了一部分，如果直接看的话会有一点迷惑。但是张译真的厉害哇,1111222372,桉阳,4.0,2
140,罗源县,1,挺好挺好的啦,1111205353,小北.,5.0,2
141,涟水,,删减版的延展结局其实不错，为什么非得搞得那么悲壮。,1111223217,WQQ799582354,5.0,2
142,菏泽,,没有想象中的那么好   适合文艺青年看,1111220604,若楠啊.,3.0,2
143,无锡,1,在商业片当道的今天，还能有一部好的剧情片就很难得。看惯了千篇一律的特效动作画面，一秒钟的剧情就像一流清泉，平淡却又不平凡，上个年代小人物的喜怒哀乐更能勾起人们心中对过往的追忆。,1111137612,私想罗格,4.5,4
144,大连,,还行 挺好的,1111222306,Eric一个人,4.0,3
145,开封,,不是特别好看  ,1111197699,GJO114613129,5.0,2
146,西安,,很好看，很有深意,1111220566,Cecilia雅,4.5,3
147,南通,1,故事一般，但是演员的表演绝对ok,1111187436,快乐一生,4.0,2
148,南京,,个人不喜欢这种类型,1111187433,梦梦？？？？,3.5,2
149,北京,2,超好看，太好看了,1111222248,猪丽叶,5.0,2
150,安吉,,好看哈哈哈哈,1111220444,周cqqq,5.0,2
151,滨州,2,电影很不错。,1111216903,小玩具569,5.0,2
152,秦皇岛,,不错不错哈哈,1111210148,sy1975123,4.5,2
153,抚州,,确实还蛮好看的,1111222109,邱欣威,4.0,2
154,长兴,,还可以还可以,1111220372,SOPHIEEEEE5,4.0,2
155,成都,,环境太假，剧情感人也有点假，感觉不实际,1111205229,eYy846840607,3.5,4
156,上海,1,挺好看的，国师的文艺片，还是比较满意的，一秒钟，一种思念，钱包里一直都有父母的照片，有时很累，看一下，父母对我的思念，我对父母的思念，只能通过照片，电话，唉……挺好看的片子，和女朋友看的，挺好的,1111220308,于峰石jason,5.0,2
157,合肥,2,很好  很好看,1111215985,娜偕哖嬅,5.0,2
158,永济,2,一种记忆。这一代导演都开始回忆当年了,1111220277,rpljy,3.5,2
159,十堰,1,结局很突然。,1111197566,有朝一日你能,0.0,2
160,广州,,除了丑化中国的过去的生活，有意思吗？都过去了,1111187363,hTj991914473,0.5,1
161,天津,2,演员演得都不错，张艺谋的电影还是很有情节的,1111215889,7766,5.0,6
162,广州,,一般，故事情节没太多惊喜，张译演技不错。,1111217734,EOH158302438,3.0,3
163,武汉,2,很好看。谍女郎和张译演技不错。我们是经历过那个年代。我邻居的男孩当年18岁正遇严打。因为打群架重判二十年。刑满释放己是近四十岁了。工作，对象都很难找。在那个特殊的年代，影响了一个人的命运，影响了一个家庭。甚至影响了一代人！,1111137548,李锡英,0.0,2
164,郑州,,看着感觉还可以,1111215842,可可k爱爱,4.5,2
165,伊春,1,张艺谋的剧情片，剧情为主，大多数人评价会很极端吧,1111205131,hollete,4.5,3
166,宜昌,2,一份迟来的爱…,1111217567,荔&枝,5.0,3
167,广州,1,讲了一个好故事,1111213994,LWF,4.0,1
168,丰县,,很好的交易h,1111216452,淘淘柚柚爸爸,5.0,3
169,长沙,,tinghao,1111205066,NPU231663488,5.0,4
170,北京,1,"很简单的一个主题，有很强的导演个人风格和思想在里面，现在很喜欢看这种慢节奏的，娓娓道来的故事，简单却充满了力量和张力。
此类题材不会讨大面积的人喜欢，但对于张艺谋这样已经证明过自己的导演，这部片子肯定不是为了追求票房，而是想拍自己的喜欢的，自己想表达的。这样就注定了是小众影片，但反而让人觉得更有味道。",1111216430,白洁,4.5,4
