,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
101,烟台,1,"好作品
👍赞",1111236009,红鸡公尾巴灰、,5.0,1
102,哈尔滨,,让人感动的电影,1111187798,vDO138640653,4.5,1
103,丹阳,1,挺好看的，哈哈,1111231976,DanYangcheng,5.0,3
104,中山,2,很好，特别好看，反正我喜欢,1111234069,彩彩彩容儿,5.0,3
105,朝阳,,好看，有意思！,1111230928,eHI654805992,5.0,2
106,信阳,2,一般般吧 看着还行,1111233329,PNx721809295,3.5,2
107,商丘,,好康，又煽情又搞笑,1111218360,安琦月,5.0,1
108,长沙,,这个电影非常可以,1111233289,mur284881555,4.0,2
109,珠海,,不错、还可以,1111231825,Steel002,5.0,2
110,张家口,2,     不错,1111233282,薇薇嫣然,4.5,2
111,张家界,1,好👌！！！,1111233197,cCi108532243,5.0,2
112,惠州,,看完以后感觉祖国特别伟大，中国越来越强,1111232588,YANGJINGCHUNG,5.0,2
113,任丘,2,真不戳。。。,1111231705,lce ice,4.5,2
114,太原,,非常感人！值得一看！,1111205895,GXF非文,5.0,3
115,芜湖,1,好看的电影。,1107139911,xiexieli,4.5,2
116,辽源,,挺好  我真心喜欢,1111230750,YAh420410337,5.0,1
117,永州,,还不错，感动。,1111229809,EbS727509580,4.0,5
118,南京,2,欢迎环境非常好,1111205863,微笑百合1977,5.0,2
119,乌鲁木齐,,好看好看，值得看。,1111230691,＆葵若叶＆,4.5,3
120,乌鲁木齐,2,挺好看的，还不错,1111206892,Xgabdqq,4.5,2
121,上海,,最值的一部电影,1111229754,对方一直看着你,5.0,2
122,南阳,2,非常好，特别满意,1111205832,ʚ青柠ɞ,5.0,1
123,石家庄,1,观影还是不错的值得一看的,1111206838,LHH410,5.0,1
124,太原,,最后沈腾那个笑着笑着都掉眼泪了，很开心的，有些桥段夸张一点，但也是不错的，正能量笑点还多,1111206837,果胶糖,4.5,1
125,丽江,,不错 值得看,1111231451,oSe480962621,4.5,2
126,岑溪,2,很好，强烈好评！演员很牛！演技真好，剧情爱了爱了，真的很棒,1111231450,HjX633514020,5.0,1
127,广州,,好看，有泪点有笑点！,1111230532,生菜Y.I.X.I.N.G,4.5,2
128,淮南,,很棒赞赞赞赞,1111230523,xinyi的老巢,5.0,2
129,南宁,,这个电影还行吧，挺搞笑的,1111218198,dXx164609912,3.5,3
