,城市名称,用户性别,评论,用户id,用户昵称,用户评分,用户等级
125,昆明,1,无感受.不评价,1111075945,无奈好片总有码,5.0,2
126,长春,1,挺好看的。值得一看,1111076991,DND765514493,4.5,2
127,东莞,,比较好的，现在港片没以前好看了,1111079198,Carrier丶ho,4.0,2
128,广州,,好看，有质感很好,1111071465,sherley儿,4.5,1
129,遵义,,观影体验感好,1111066917,iam方方,5.0,2
130,无锡,,很好看，感人,1111069390,B粑粑N囡囡,4.5,1
131,嘉兴,,不错的环境，,1111053197,号外传媒2046,5.0,1
132,北京,,成功被古仔转粉~,1111065044,岳先生973,5.0,3
133,天津,,挺好的，推荐,1111059760,阿镭whl,4.0,3
134,成都,,好看不错不错,1111039555,TwF480993256,4.5,2
135,辽阳,,很好，画面感很强,1111029202,Kmq919304644,4.5,3
136,海口,,好，很好，非常好,1111034694,UlX880057289,5.0,2
137,西安,1,动作片，挺解压的,1111049733,昊吃昊玩6,4.0,2
138,重庆,,真的好看。寄了,1111046720,Dop230966718,5.0,2
139,宜昌,,好看的，棒棒滴,1111044810,Pmu293133480,5.0,2
140,上海,1,很哇塞 很好看,1111048214,爱笑硕.,5.0,2
141,石家庄,,大家可以去看下,1111046093,QSB355476053,4.0,2
142,南通,,港片一直是最期待额,1111044328,HPi137808025,3.5,2
143,长沙,,很好👍耐斯,1111040452,小胡同志爱玩鼓,4.5,3
144,昆山,1,来咯哦哦好吧,1111014810,ZY0421q,5.0,1
145,南阳,,好看好看好看  强烈推荐,1111036212,YoO924918588,4.5,1
146,东莞,,观感还算可以,1111033281,cOY795607746,4.5,1
147,普宁,,很刺激，蛮好看的,1111030551,pDt897950983,5.0,2
148,德阳,,很好看的一部影片，值得一看,1111026876,yRa984606735,5.0,3
149,南宁,,好，挺好的。,1111028444,黄大大大坨,4.0,2
150,兰州,,非常好看 奶思,1111006699,W。小小玉,4.5,2
151,朔州,,可以去看看    效果不错,1111025761,MnT303496991,4.5,1
152,景德镇,,非常好看太刺激了,1111023753,VBN129410174,5.0,2
153,贵阳,2,就这样吧，嗯,1111022431,yanp520921,3.5,4
154,克拉玛依,2,特别喜欢刘德华和古天乐，实力派演员,1111023169,Hpe708287308,5.0,2
155,成都,2,太久，已经忘记了,1111022179,mqH883215970,0.0,2
156,深圳,,还不错。  ,1110994800,陈小花朵呀,4.0,3
157,亳州,,？！！｝1111,1111016111,Aqv552339801,5.0,2
158,灯塔,,扫毒永远在路上,1111016059,是阿美哇,4.0,2
159,长春,,两大影帝演技在线，传统港片套路，值得推荐！,1111012411,小驴撒欢0419,3.5,2
160,深圳,1,非常不错的电影、个人感觉古天乐演技越来越精湛了、当然刘德华依然很出色,1111000249,随风漂流482,4.5,2
161,巨野,,演技可以，剧情跟多年前一样,1111013289,jjjjjjjjfd,5.0,3
162,昆明,,不错(*๓´╰╯`๓)♡,1111005949,LPD824448746,4.5,2
163,宁波,1,这是一部值得推荐的影片,1110986651,不动的云186,5.0,3
164,成都,,很好看很好看,1111003755,oia377004511,4.0,2
165,泰兴,1,在家里面有一种很简单的感觉。我的手机,1110986333,张辉516,5.0,2
166,无锡,,还可以，，，,1110997734,LrS321714159,4.5,1
167,西安,,还行不错可以,1110998428,kOz499521496,3.5,3
168,恩施,1,还不错，个人觉得值得,1110997190,Harry和Rocy,4.5,1
169,防城港,,挺好看的，期待3,1110968210,King1335,4.5,1
170,济南,1,古天乐还是刘德华 都值得一看,1110985357,晋乘,5.0,3
171,平顶山,2,扫毒    ,1110982690,OGP。,5.0,3
172,北京,,特别好看，真心喜欢,1110976546,浪里个浪aiai,5.0,2
